time,distance,temperature,activity
06:00,25,85,shower
06:10,28,83,shower
06:20,30,82,shower
06:40,40,75,faucet
07:00,42,74,faucet
07:30,50,65,toilet
08:00,48,67,toilet
09:00,60,60,no_activity
10:00,62,58,no_activity
11:00,63,57,no_activity
12:00,65,55,no_activity
13:00,64,56,no_activity
14:00,63,57,no_activity
15:00,60,60,no_activity
16:00,55,65,faucet
17:00,50,70,faucet
18:00,45,75,dishwasher
18:30,42,78,dishwasher
19:00,40,80,shower
19:20,38,82,shower
19:40,36,83,shower
20:00,48,70,toilet
21:00,55,65,no_activity
22:00,60,60,no_activity
23:00,65,55,no_activity
